Mood Name/ Feeling,Definition,Emotional Group,Group,Group Count,Hue Range (°),Intensity level,Tier Count,hex,hue,lightness,rgb,saturation
Edgy,"On the edge, slightly unconventional or tense.",Anger / Energy,Internal Agitation,1,30,Lower,1,#d82626,0,50,"rgb(216, 38, 38)",70
Gritty,"Realistic, raw, and sometimes harsh; a tough, baseline quality.",Anger / Energy,Internal Agitation,2,30,Lower,2,#d82b26,1.83,50,"rgb(216, 43, 38)",70
Restless,"A low-level, nervous, and constant energy; unable to relax.",Anger / Energy,Internal Agitation,3,30,Lower,3,#d83126,3.65,50,"rgb(216, 49, 38)",70
Tense,A state of emotional or mental strain; coiled but not yet released.,Anger / Energy,Internal Agitation,4,30,Lower,4,#d83626,5.48,50,"rgb(216, 54, 38)",70
Anti-Establishment,"An attitude of opposition to authority, not necessarily active or aggressive.",Anger / Energy,Internal Agitation,5,30,Lower,5,#d83b26,7.31,50,"rgb(216, 59, 38)",70
Energetic,"Simply active and dynamic, without a specific emotional charge.",Anger / Energy,Internal Agitation,6,30,Lower,6,#d84126,9.14,50,"rgb(216, 65, 38)",70
Powerful,Having great strength or influence.,Anger / Energy,Internal Agitation,7,30,Lower,7,#d84626,10.96,50,"rgb(216, 70, 38)",70
Intense,Exhibiting a high degree of a quality or emotion.,Anger / Energy,Internal Agitation,8,30,Lower,8,#d84c26,12.79,50,"rgb(216, 76, 38)",70
Hard-hitting,Direct and forceful; making a strong impact.,Anger / Energy,Internal Agitation,9,30,Lower,9,#d85126,14.62,50,"rgb(216, 81, 38)",70
Charged,"Filled with emotion, tension, or energy; on the brink of action.",Anger / Energy,Internal Agitation,10,30,Lower,10,#d85726,16.45,50,"rgb(216, 87, 38)",70
Provocative,Intended to cause a strong reaction.,Anger / Energy,Internal Agitation,11,30,Lower,11,#d85c26,18.27,50,"rgb(216, 92, 38)",70
Defiant,Openly resisting an opposing force or authority.,Anger / Energy,Internal Agitation,12,30,Lower,12,#d86226,20.1,50,"rgb(216, 98, 38)",70
Volatile,Likely to change rapidly and unpredictably; explosive potential.,Anger / Energy,Internal Agitation,13,30,Lower,13,#d86726,21.93,50,"rgb(216, 103, 38)",70
Angry,A strong feeling of displeasure; an active emotion.,Anger / Energy,Outward Expression,14,30,Moderate,1,#d86c26,23.76,50,"rgb(216, 108, 38)",70
Aggressive,Ready or likely to attack or confront; assertive.,Anger / Energy,Outward Expression,15,30,Moderate,2,#d87226,25.58,50,"rgb(216, 114, 38)",70
Combative,Eager to fight or argue; confrontational.,Anger / Energy,Outward Expression,16,30,Moderate,3,#d87726,27.41,50,"rgb(216, 119, 38)",70
Turbulent,"Characterized by conflict, disorder, or confusion.",Anger / Energy,Rage / Volatility,17,30,Higher,1,#d87d26,29.24,50,"rgb(216, 125, 38)",70
Belligerent,Hostile and aggressive; ready for a fight.,Anger / Energy,Rage / Volatility,18,30,Higher,2,#d88226,31.07,50,"rgb(216, 130, 38)",70
Rebellious,Actively resisting control or authority; a strong action.,Anger / Energy,Rage / Volatility,19,30,Higher,3,#d88826,32.89,50,"rgb(216, 136, 38)",70
